DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3903.2,0.0921,2.4313,17.5694,62290.7695,5.2966,8.6056,64.30756456504815
3903.3,0.0942,2.4149,16.84,62290.7695,5.2239,8.5569,65.8068685725965
3903.4,0.0977,2.3947,16.0383,62290.7695,5.129,8.5568,65.72798598594729
3903.5,0.1041,2.3703,14.9945,62290.7695,5.0134,8.5244,66.17215012523152
3903.6,0.1059,2.3441,14.1861,62197.1602,4.9036,8.5569,66.62263194586211
3903.7,0.1089,2.3212,13.2111,21866.2402,4.8339,8.5569,68.73983834922485
3903.8,0.1114,2.3059,12.0724,285.8127,4.8168,8.5569,68.65344516915093
3903.9,0.1149,2.2998,11.7953,121.2524,4.8378,8.5569,68.55979634129368
3904.0,0.1203,2.3003,11.2078,99.3649,4.8719,8.5569,67.82587423096687
3904.1,0.1278,2.3049,11.2055,98.9921,4.9133,8.5569,69.38919652510518
3904.2,0.1371,2.3117,11.4816,119.3759,4.9744,8.5569,72.65051199559305
3904.3,0.1468,2.3208,13.4529,160.1192,5.0597,8.5569,72.44766433612492
3904.4,0.1554,2.3323,17.4863,94.3026,5.1513,8.5569,70.25826832509334
3904.5,0.1621,2.3459,20.2259,29.3644,5.2137,8.5569,69.110744270228
3904.6,0.1666,2.3582,24.3225,15.2553,5.2269,8.5569,71.45423728411335
3904.7,0.1715,2.3639,29.4689,9.5679,5.2009,8.5568,71.71073506893309
3904.8,0.1734,2.3602,33.4937,7.2356,5.1704,8.5243,71.78334035747262
3904.9,0.1747,2.3507,35.1679,7.2609,5.1561,8.5243,72.15492203633688
3905.0,0.1754,2.3423,35.0829,7.5947,5.1625,8.5244,71.98643975020144
3905.1,0.1724,2.3393,34.5521,7.9298,5.1917,8.5569,71.72804153363825
3905.2,0.1705,2.3426,35.3982,8.2387,5.2525,8.5569,71.12772497226426
3905.3,0.1613,2.3517,35.1282,7.9379,5.3673,8.5406,69.68575315143013
3905.4,0.1518,2.3688,35.1151,7.1591,5.5608,8.5569,69.98180074741371
3905.5,0.1411,2.3973,35.4566,5.4827,5.8338,8.5569,70.55014325253325
3905.6,0.1269,2.4417,35.477,3.5694,6.1663,8.557,70.32902528745988
3905.7,0.119,2.5025,33.6759,3.1074,6.5302,8.6056,68.91866130611803
3905.8,0.1087,2.5745,29.6462,3.3847,6.9028,8.5569,67.94204766005468
3905.9,0.1001,2.6451,24.8747,3.8594,7.2632,8.5569,65.6638476517549
3906.0,0.0945,2.6994,19.0605,4.1304,7.5252,8.5569,65.08719513402198
3906.1,0.0925,2.7293,15.118,3.6671,7.5559,8.5569,63.30830479534963
3906.2,0.0953,2.7307,12.5124,2.928,7.2691,8.5569,62.68296456023146
3906.3,0.1036,2.7051,10.7696,2.4274,6.7552,8.5569,64.2491237164124
3906.4,0.1161,2.6624,13.5291,1.7158,6.2926,8.5569,65.38591556094498
3906.5,0.1283,2.622,19.7845,1.5092,6.1092,8.5569,67.36071041004513
3906.6,0.1312,2.6019,28.4082,2.3834,6.2421,8.557,69.75488791824957
3906.7,0.1295,2.6052,36.0598,8.842,6.5221,8.6057,69.2643545201765
3906.8,0.1228,2.6208,39.1985,5.9341,6.7333,8.6057,70.2821809638909
3906.9,0.1163,2.6338,37.8276,0.7308,6.7928,8.6057,69.81241988275765
3907.0,0.1134,2.637,33.1088,0.5924,6.7511,8.6057,68.72509813174693
3907.1,0.1116,2.6309,29.3994,1.318,6.6806,8.6058,68.19206957036076
3907.2,0.1154,2.6192,29.7703,2.1932,6.6068,8.6382,68.32637529276577
3907.3,0.1168,2.6047,29.7676,2.4111,6.5059,8.6057,68.59341268982584
3907.4,0.117,2.5911,28.3261,2.5615,6.4015,8.6057,68.5280892012608
3907.5,0.1175,2.5799,27.8822,2.6842,6.3402,8.6057,68.47716885360019
3907.6,0.1196,2.5711,27.6478,2.9498,6.3394,8.6057,68.1895016962783
3907.7,0.1228,2.5642,27.5114,2.9998,6.3524,8.6057,69.1592281558061
3907.8,0.1235,2.5597,27.4553,3.0823,6.3067,8.622,69.10837356507075
3907.9,0.1266,2.5568,28.4896,3.0239,6.2029,8.6057,69.68459770843582
3908.0,0.1272,2.5535,28.1706,2.9183,6.1028,8.6056,70.08703764144687
3908.1,0.1314,2.5491,27.8033,2.8816,6.0621,8.5569,69.82607067924049
3908.2,0.1326,2.5452,28.7957,2.8129,6.0883,8.557,70.44266697102016
3908.3,0.1306,2.5415,29.0049,2.7973,6.1394,8.5814,70.58606964656245
3908.4,0.1315,2.5368,29.2982,2.7924,6.1803,8.6057,71.04921222367938
3908.5,0.1319,2.5311,29.4772,2.7671,6.2019,8.6057,71.20564590338493
3908.6,0.1314,2.5268,31.0571,2.7436,6.2118,8.6057,70.95680797170918
3908.7,0.1307,2.5259,30.8368,2.7407,6.2288,8.6057,70.67597074777333
3908.8,0.1315,2.5274,30.5693,2.7518,6.2664,8.6057,71.00536583863817
3908.9,0.1349,2.5298,30.5468,2.7245,6.3296,8.6057,71.93401922335256
3909.0,0.1401,2.5328,31.2022,2.5873,6.398,8.6057,70.2881655465063
3909.1,0.1448,2.5359,32.2251,2.4744,6.4331,8.6057,70.57969413417372
3909.2,0.1451,2.5373,31.7628,2.4376,6.3991,8.6058,70.19589519761351
3909.3,0.1453,2.5348,31.4889,2.4158,6.3134,8.6383,70.38856341060414
3909.4,0.1451,2.5291,33.1044,2.4627,6.238,8.6383,71.2951617688055
3909.5,0.146,2.5235,33.2551,2.5357,6.2291,8.6383,71.25289598363999
3909.6,0.1478,2.5224,32.0892,2.6062,6.2915,8.6383,71.55640712682522
3909.7,0.1486,2.5288,29.7282,2.6668,6.369,8.6383,70.95550522702635
3909.8,0.1467,2.5401,31.0594,2.5953,6.3923,8.6383,69.95317469234311
3909.9,0.1426,2.5484,31.7829,2.3713,6.3417,8.6382,70.33902089357588
3910.0,0.1402,2.5468,32.468,2.2705,6.2608,8.6057,70.90225169972143
3910.1,0.137,2.5362,32.5838,2.3322,6.2173,8.6056,72.02868497355628
3910.2,0.1397,2.5271,32.2271,2.3844,6.2486,8.5812,71.13012942532941
3910.3,0.1416,2.5253,31.1815,2.4059,6.3287,8.5569,70.53186104190283
3910.4,0.1446,2.5297,31.5075,2.4029,6.4036,8.5569,70.09689717327063
3910.5,0.1466,2.5353,30.1998,2.4014,6.4139,8.5569,70.21146615991815
3910.6,0.1439,2.5374,31.3513,2.3937,6.3227,8.557,70.59107536582235
3910.7,0.1472,2.5349,31.7552,2.393,6.1501,8.5812,70.65211238087241
3910.8,0.1482,2.5249,32.1952,2.4151,5.9655,8.5569,71.31183413778017
3910.9,0.1496,2.5099,32.3055,2.4086,5.8281,8.5569,70.8941329921856
3911.0,0.1501,2.4956,30.4043,2.4109,5.7599,8.5569,70.36331338442399
3911.1,0.1496,2.4871,31.0611,2.3821,5.7395,8.5569,70.3376641123178
3911.2,0.1486,2.4865,32.6507,2.359,5.7523,8.5569,70.50563644158991
3911.3,0.1479,2.4908,33.4101,2.3458,5.8034,8.5569,70.08668268839808
3911.4,0.1477,2.4965,31.5161,2.3532,5.9023,8.5569,70.51851876713292
3911.5,0.1475,2.5029,31.8623,2.3492,6.0327,8.5569,70.45057856326524
3911.6,0.1438,2.5092,30.9681,2.3625,6.1568,8.557,70.11862568391159
3911.7,0.1425,2.5138,29.8151,2.3607,6.2538,8.6057,70.12920105347341
3911.8,0.1402,2.5146,30.4727,2.3532,6.3101,8.6057,70.3073516260003
3911.9,0.1374,2.5116,30.2415,2.3355,6.3055,8.6057,71.2440874262239
