DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3221.1,0.103,2.589,24.958,3.882,7.328,8.547,68.53109390465667
3221.2,0.101,2.587,24.808,3.748,7.357,8.555,67.91492266194018
3221.3,0.097,2.585,23.722,3.847,7.389,8.578,67.7121893587041
3221.4,0.099,2.585,24.141,3.901,7.394,8.555,67.33789422843354
3221.5,0.098,2.587,24.702,4.152,7.378,8.547,68.03617314007798
3221.6,0.097,2.588,24.013,4.21,7.379,8.547,67.67315958691111
3221.7,0.095,2.59,22.477,4.075,7.426,8.547,66.63779012878005
3221.8,0.094,2.59,22.344,4.09,7.489,8.547,66.62012999997327
3221.9,0.093,2.589,21.043,4.17,7.52,8.547,66.25013103569692
3222.0,0.093,2.589,22.287,4.233,7.533,8.547,66.56679403578606
3222.1,0.094,2.59,23.09,4.187,7.559,8.547,66.94824864301836
3222.2,0.095,2.592,22.302,4.254,7.61,8.547,66.67004822454827
3222.3,0.096,2.593,22.305,4.297,7.657,8.547,67.2353143598434
3222.4,0.096,2.592,21.942,4.322,7.67,8.547,67.07372448881083
3222.5,0.096,2.593,22.159,4.287,7.64,8.547,66.98475715966947
3222.6,0.095,2.594,22.367,4.226,7.572,8.528,66.61368495081234
3222.7,0.094,2.596,21.886,4.255,7.492,8.547,66.4491345870568
3222.8,0.094,2.596,22.354,4.203,7.422,8.547,66.61190690973424
3222.9,0.096,2.595,22.875,4.186,7.358,8.547,67.17746620359175
3223.0,0.098,2.594,23.425,4.255,7.296,8.547,67.58307798740289
3223.1,0.101,2.594,23.464,4.177,7.227,8.547,67.44943369887247
3223.2,0.103,2.595,24.186,4.2,7.162,8.547,68.09338895843423
3223.3,0.105,2.596,24.547,4.147,7.118,8.547,68.6255371688016
3223.4,0.107,2.596,25.56,3.987,7.113,8.547,68.30206714960514
3223.5,0.109,2.597,27.856,4.007,7.158,8.547,68.52954622380248
3223.6,0.112,2.597,28.556,3.859,7.238,8.547,69.37359574917518
3223.7,0.114,2.596,28.198,3.841,7.322,8.547,69.32036892075905
3223.8,0.116,2.594,28.214,3.746,7.364,8.547,69.13127874710811
3223.9,0.117,2.592,29.363,3.627,7.343,8.547,73.0000234453697
3224.0,0.118,2.592,31.012,3.629,7.28,8.547,73.23056609100061
3224.1,0.119,2.591,30.858,3.476,7.214,8.547,73.60782180872813
3224.2,0.12,2.589,30.177,3.393,7.177,8.547,73.64089392449397
3224.3,0.122,2.585,31.119,3.516,7.153,8.547,73.69998352809449
3224.4,0.122,2.583,31.336,3.377,7.112,8.566,74.29397529502182
3224.5,0.125,2.582,29.954,3.28,7.062,8.555,73.92714334492798
3224.6,0.124,2.582,30.875,3.243,7.02,8.562,73.82269063971484
3224.7,0.126,2.581,31.393,3.143,7.002,8.547,74.64140954259389
3224.8,0.127,2.579,32.474,3.16,6.982,8.547,74.75554497199494
3224.9,0.128,2.576,33.129,3.291,6.947,8.557,74.44771117982923
3225.0,0.128,2.574,32.479,3.415,6.884,8.563,74.6464350601487
3225.1,0.127,2.572,33.574,3.317,6.794,8.57,74.70475630025085
3225.2,0.128,2.57,34.25,3.35,6.704,8.547,74.59229206130628
3225.3,0.126,2.565,33.953,3.09,6.66,8.563,74.70195826298301
3225.4,0.126,2.561,35.044,3.351,6.679,8.566,74.12574240039784
3225.5,0.127,2.563,35.294,3.453,6.746,8.555,73.96914254255945
3225.6,0.125,2.57,35.305,3.751,6.819,8.562,74.00862226090621
3225.7,0.126,2.577,35.163,3.702,6.878,8.552,73.9928195443225
3225.8,0.122,2.58,34.171,3.758,6.927,8.578,73.77941799079854
